plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,plume_png_object,plume_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20220228t215349-A,34.325815,-118.515558,2022-02-28T21:53:49+00,Solid Waste (6A),CH4,mf,,ang,,,,,,,,,,AVIRIS-NG,NASA-JPL
ang20220302t182228-A,33.797174,-117.461732,2022-03-02T18:22:28+00,Solid Waste (6A),CH4,mf,"[-117.46851927472694, 33.79427828569001, -117.45613197416587, 33.804548615761156]",ang,,,1033.416432,516.6829391,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220302t182946-A,33.715718,-117.697324,2022-03-02T18:29:46+00,Solid Waste (6A),CH4,mf,"[-117.70052421311327, 33.7130764141429, -117.69373979210863, 33.71871969644816]",ang,,,253.3476399,121.1269889,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220302t182946-B,33.720865,-117.703204,2022-03-02T18:29:46+00,Solid Waste (6A),CH4,mf,"[-117.70609306793652, 33.71779264002237, -117.69930828496265, 33.72343591339856]",ang,,,350.661087,189.8411281,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220302t184722-A,34.328494,-118.516111,2022-03-02T18:47:22+00,Solid Waste (6A),CH4,mf,"[-118.52007727631377, 34.32612677998597, -118.51340143202698, 34.33166407196862]",ang,,,695.7833833,365.5991464,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220302t185439-A,34.403933,-118.99706,2022-03-02T18:54:39+00,Solid Waste (6A),CH4,mf,"[-119.00012864718394, 34.401319855535796, -118.99323126766231, 34.407010693175046]",ang,,,514.6156278,299.083848,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220302t195344-A,33.720324,-117.703238,2022-03-02T19:53:44+00,Solid Waste (6A),CH4,mf,"[-117.7070416276879, 33.7171998526509, -117.70022652234024, 33.72289357774621]",ang,,,477.9515358,185.6085434,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220302t200003-A,33.796276,-117.462914,2022-03-02T20:00:03+00,Solid Waste (6A),CH4,mf,"[-117.46631522888849, 33.793594118161494, -117.46003739060154, 33.798834529705395]",ang,,,648.8269327,252.3979344,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220302t201838-A,34.3302,-118.517751,2022-03-02T20:18:38+00,Solid Waste (6A),CH4,mf,"[-118.52170897089617, 34.32637652382162, -118.51420402100239, 34.3325741736075]",ang,,,597.4165249,168.1023999,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220302t205915-A,34.405117,-118.994027,2022-03-02T20:59:15+00,Solid Waste (6A),CH4,mf,"[-118.99645777053023, 34.4025593850205, -118.98869259122915, 34.40896609799318]",ang,,,1123.290598,591.7484539,,,,,hrrr,AVIRIS-NG,NASA-JPL
