,State,Value,State_FIPS
0,AL,6873513,01
1,AR,2166189,05
2,AZ,1658136,04
3,CA,8745405,06
4,CO,8898513,08
5,CT,278151,09
6,DC,43163,11
7,DE,374932,10
8,FL,6671979,12
9,GA,5087042,13
10,HI,288867,15
11,IA,1589262,19
12,ID,577200,16
13,IL,5933904,17
14,IN,5586947,18
15,KS,1501953,20
16,KY,2487255,21
17,LA,5403920,22
18,MA,751940,25
19,MD,1103411,24
20,ME,277643,23
21,MI,4938378,26
22,MN,1345708,27
23,MO,1574093,29
24,MS,1754803,28
25,MT,434633,30
26,NC,3657683,37
27,ND,1042167,38
28,NE,1195014,31
29,NH,156172,33
30,NJ,1625879,34
31,NM,2386297,35
32,NV,511800,32
33,NY,3123792,36
34,OH,5754191,39
35,OK,7940394,40
36,OR,793059,41
37,PA,12752646,42
38,PR,740892,72
39,RI,228691,44
40,SC,1828662,45
41,SD,271492,46
42,TN,2862174,47
43,TX,8984295,48
44,UT,1909761,49
45,VA,4972302,51
46,VI,899,78
47,VT,73730,50
48,WA,1594334,53
49,WI,1570196,55
50,WV,10284191,54
51,WY,701085,56
